gpu num is: 6
model original data nums:10571
train 5800 steps, train loss: 20.103164672851562
add 89 points, now there are 123132 points
add 86 points, now there are 123307 points
add 77 points, now there are 123470 points
add 87 points, now there are 123634 points
add 92 points, now there are 123813 points
add 87 points, now there are 123992 points
add 94 points, now there are 124173 points
add 95 points, now there are 124362 points
add 92 points, now there are 124549 points
add 92 points, now there are 124733 points
add 94 points, now there are 124919 points
train 5900 steps, train loss: 19.966426849365234
add 87 points, now there are 125100 points
add 90 points, now there are 125277 points
add 77 points, now there are 125444 points
add 88 points, now there are 125609 points
add 92 points, now there are 125789 points
add 86 points, now there are 125967 points
add 89 points, now there are 126142 points
add 95 points, now there are 126326 points
add 91 points, now there are 126512 points
add 94 points, now there are 126697 points
add 92 points, now there are 126883 points
train 6000 steps, train loss: 19.823230743408203
add 88 points, now there are 127063 points
add 91 points, now there are 127242 points
add 69 points, now there are 127402 points
add 85 points, now there are 127556 points
add 93 points, now there are 127734 points
add 89 points, now there are 127916 points
add 93 points, now there are 128098 points
add 94 points, now there are 128285 points
add 91 points, now there are 128470 points
add 93 points, now there are 128654 points
add 94 points, now there are 128841 points
train 6100 steps, train loss: 19.6739501953125
add 93 points, now there are 129028 points
add 81 points, now there are 129202 points
add 76 points, now there are 129359 points
add 88 points, now there are 129523 points
add 93 points, now there are 129704 points
add 90 points, now there are 129887 points
add 95 points, now there are 130072 points
add 94 points, now there are 130261 points
add 92 points, now there are 130447 points
add 91 points, now there are 130630 points
add 92 points, now there are 130813 points
train 6200 steps, train loss: 19.51888084411621
add 91 points, now there are 130996 points
add 84 points, now there are 131171 points
add 78 points, now there are 131333 points
add 89 points, now there are 131500 points
add 95 points, now there are 131684 points
add 90 points, now there are 131869 points
add 92 points, now there are 132051 points
add 95 points, now there are 132238 points
add 92 points, now there are 132425 points
add 95 points, now there are 132612 points
add 89 points, now there are 132796 points
train 6300 steps, train loss: 19.360288619995117
add 91 points, now there are 132976 points
add 93 points, now there are 133160 points
add 80 points, now there are 133333 points
add 89 points, now there are 133502 points
add 93 points, now there are 133684 points
add 88 points, now there are 133865 points
add 91 points, now there are 134044 points
add 90 points, now there are 134225 points
add 90 points, now there are 134405 points
add 93 points, now there are 134588 points
add 93 points, now there are 134774 points
train 6400 steps, train loss: 19.19984245300293
add 91 points, now there are 134958 points
add 89 points, now there are 135138 points
add 73 points, now there are 135300 points
add 89 points, now there are 135462 points
add 95 points, now there are 135646 points
add 91 points, now there are 135832 points
add 93 points, now there are 136016 points
add 95 points, now there are 136204 points
add 91 points, now there are 136390 points
add 93 points, now there are 136574 points
add 95 points, now there are 136762 points
train 6500 steps, train loss: 19.03708839416504
add 90 points, now there are 136947 points
add 84 points, now there are 137121 points
add 88 points, now there are 137293 points
add 86 points, now there are 137467 points
add 94 points, now there are 137647 points
add 94 points, now there are 137835 points
add 92 points, now there are 138021 points
add 92 points, now there are 138205 points
add 90 points, now there are 138387 points
add 92 points, now there are 138569 points
add 90 points, now there are 138751 points
train 6600 steps, train loss: 18.874197006225586
add 94 points, now there are 138935 points
